propositions,clauses,result,DPLL calls,L/N ratio,solve time
30,90,True,124,3.0,0.016768932342529297
32,96,True,6159,3.0,0.6992669105529785
34,102,True,3606,3.0,0.38431453704833984
36,108,True,33053,3.0,4.592071771621704
38,114,True,5141,3.0,0.6918256282806396
40,120,True,43044,3.0,5.158674716949463
42,126,True,20723,3.0,3.068640947341919
44,132,True,29545,3.0,4.100301027297974
46,138,True,327031,3.0,42.74948000907898
48,144,True,128273,3.0,17.90432333946228
50,150,True,205211,3.0,23.68308424949646
52,156,True,250409,3.0,30.932836294174194
54,162,True,49,3.0,0.009880542755126953
56,168,True,27588,3.0,5.76624870300293
58,174,True,32070398,3.0,5282.803987979889
10,32,True,18,3.2,0.0
12,38,True,21,3.2,0.0
14,44,True,97,3.2,0.0
16,51,True,17,3.2,0.0
18,57,True,137,3.2,0.011039257049560547
20,64,True,90,3.2,0.016880035400390625
22,70,True,26,3.2,0.0
24,76,True,28,3.2,0.0
26,83,True,280,3.2,0.021220922470092773
28,89,True,108,3.2,0.0017771720886230469
30,96,True,2047,3.2,0.16911697387695312
32,102,True,2127,3.2,0.22896051406860352
34,108,True,13300,3.2,2.282878875732422
36,115,True,25316,3.2,2.9995226860046387
38,121,True,4312,3.2,0.47225356101989746
40,128,True,5447,3.2,0.8272597789764404
42,134,True,63980,3.2,9.881952047348022
44,140,True,308,3.2,0.03278684616088867
46,147,True,32047,3.2,4.2892374992370605
48,153,True,1141610,3.2,201.97100400924683
10,34,True,36,3.4,0.002110004425048828
12,40,True,19,3.4,0.0
14,47,True,67,3.4,0.0
16,54,True,107,3.4,0.016126155853271484
18,61,True,127,3.4,0.013343334197998047
20,68,False,1740,3.4,0.17672348022460938
22,74,True,799,3.4,0.08346033096313477
24,81,True,24,3.4,0.0
26,88,True,1994,3.4,0.23335671424865723
28,95,True,2184,3.4,0.2647883892059326
30,102,True,974,3.4,0.09986662864685059
32,108,True,2229,3.4,0.21711063385009766
34,115,True,13509,3.4,1.417494297027588
36,122,True,11049,3.4,1.4077682495117188
38,129,True,89800,3.4,13.132742643356323
40,136,True,58151,3.4,9.833895206451416
42,142,True,242758,3.4,45.71581029891968
44,149,True,22842,3.4,5.56727409362793
46,156,True,350645,3.4,66.61635899543762
10,36,True,78,3.6,0.0
12,43,True,17,3.6,0.0
14,50,True,24,3.6,0.0
16,57,True,265,3.6,0.02726459503173828
18,64,True,51,3.6,0.0
20,72,True,1446,3.6,0.1427609920501709
22,79,True,197,3.6,0.021798133850097656
24,86,True,2244,3.6,0.2787747383117676
26,93,True,3580,3.6,0.5342726707458496
28,100,True,1406,3.6,0.2536187171936035
30,108,True,336,3.6,0.04370713233947754
32,115,True,8411,3.6,1.3677771091461182
34,122,True,342,3.6,0.04625129699707031
36,129,True,51035,3.6,8.609251976013184
38,136,True,429418,3.6,78.19347095489502
10,38,True,37,3.8,0.0
12,45,True,56,3.8,0.0
14,53,True,84,3.8,0.0
16,60,True,281,3.8,0.031259775161743164
18,68,True,528,3.8,0.05924558639526367
20,76,False,406,3.8,0.03931760787963867
22,83,True,71,3.8,0.0015528202056884766
24,91,True,370,3.8,0.03345370292663574
26,98,True,1599,3.8,0.1770012378692627
28,106,True,17559,3.8,2.1011593341827393
30,114,True,3269,3.8,0.41916394233703613
32,121,True,44872,3.8,6.028265953063965
34,129,True,121310,3.8,18.82132911682129
36,136,True,3160,3.8,0.43230438232421875
38,144,True,31729,3.8,6.757519483566284
40,152,True,356133,3.8,71.41767168045044
10,40,True,80,4.0,0.004583835601806641
12,48,False,95,4.0,0.012517690658569336
14,56,True,137,4.0,0.015691041946411133
16,64,True,125,4.0,0.003574371337890625
18,72,False,621,4.0,0.06884384155273438
20,80,False,1582,4.0,0.21828699111938477
22,88,True,186,4.0,0.015383243560791016
24,96,True,776,4.0,0.0792996883392334
26,104,True,3426,4.0,0.510941743850708
28,112,False,24819,4.0,4.143198013305664
30,120,False,29745,4.0,5.22122859954834
32,128,True,8250,4.0,1.3558852672576904
34,136,True,77670,4.0,14.30990219116211
36,144,False,268652,4.0,48.20587944984436
38,152,True,78395,4.0,17.169151306152344
40,160,False,910473,4.0,166.8499128818512
10,42,True,67,4.2,0.00529932975769043
12,50,True,56,4.2,0.014152050018310547
14,58,True,158,4.2,0.007528543472290039
16,67,True,191,4.2,0.018631935119628906
18,75,True,115,4.2,0.012989997863769531
20,84,False,1516,4.2,0.21171164512634277
22,92,True,1036,4.2,0.14110445976257324
24,100,True,2290,4.2,0.2900276184082031
26,109,True,492,4.2,0.06812119483947754
28,117,False,16036,4.2,2.850451946258545
30,126,True,244,4.2,0.029900312423706055
32,134,False,75625,4.2,13.992401838302612
34,142,True,51006,4.2,10.211173057556152
36,151,True,132240,4.2,30.107818126678467
38,159,True,77304,4.2,20.097264766693115
40,168,True,205096,4.2,45.77775025367737
42,176,True,342,4.2,0.05060434341430664
44,184,False,1121222,4.2,327.83652353286743
10,44,True,74,4.4,0.0059130191802978516
12,52,True,74,4.4,0.0
14,61,True,17,4.4,0.0
16,70,True,19,4.4,0.0
18,79,False,1049,4.4,0.12174820899963379
20,88,True,36,4.4,0.01677107810974121
22,96,True,1993,4.4,0.22485828399658203
24,105,False,3454,4.4,0.5986530780792236
26,114,False,5862,4.4,1.0258030891418457
28,123,True,1708,4.4,0.40207791328430176
30,132,False,27653,4.4,5.925490856170654
32,140,False,31364,4.4,6.516319990158081
34,149,True,2609,4.4,0.433502197265625
36,158,False,99568,4.4,24.949267625808716
38,167,True,195376,4.4,48.01303315162659
