propositions,clauses,result,DPLL calls,L/N ratio,solve time
168,504,True,1004,3.0,3.301635980606079
171,513,True,175,3.0,0.8275289535522461
174,556,True,261,3.2,2.207850933074951
177,566,True,260,3.2,1.8138132095336914
172,550,True,158,3.2,4.487886428833008
167,534,True,420,3.2,9.123913764953613
162,518,True,1381,3.2,6.64058518409729
165,528,True,162,3.2,0.8005342483520508
144,460,True,287,3.2,4.950554847717285
131,419,True,284,3.2,1.5633201599121094
126,403,True,2666,3.2,7.478770732879639
129,412,True,11370,3.2,29.238135814666748
132,422,True,130,3.2,0.6611640453338623
135,432,True,801,3.2,3.9648406505584717
138,441,True,753,3.2,4.821688890457153
141,451,True,7184,3.2,19.266329288482666
136,435,True,131,3.2,1.927384853363037
139,444,True,138,3.2,1.5235109329223633
142,454,True,4159,3.2,18.962514400482178
145,464,True,1224,3.2,2.6426124572753906
148,473,True,137,3.2,0.48556995391845703
143,457,True,180,3.2,0.6553502082824707
138,441,True,7748,3.2,25.17047691345215
141,451,True,2977,3.2,13.645124197006226
120,384,True,127,3.2,0.32387661933898926
123,393,True,214,3.2,0.4968080520629883
126,403,True,191,3.2,0.5335111618041992
129,412,True,260,3.2,0.73333740234375
132,422,True,1271,3.2,4.973100423812866
135,432,True,2668,3.2,6.48808217048645
130,416,True,266,3.2,1.0356972217559814
125,400,True,123,3.2,0.36714839935302734
112,358,True,148,3.2,0.31424593925476074
107,342,True,8936,3.2,27.00003480911255
102,326,True,226,3.2,0.4331519603729248
97,310,True,1029,3.2,2.1316237449645996
100,320,True,706,3.2,1.518186092376709
103,329,True,97,3.2,0.2521934509277344
106,339,True,10054,3.2,26.996453285217285
109,348,True,185,3.2,0.5493488311767578
112,358,True,334,3.2,0.7282388210296631
107,342,True,918,3.2,2.231105327606201
110,352,True,1883,3.2,5.297513246536255
113,361,True,312,3.2,0.8502190113067627
116,371,True,973,3.2,3.1327288150787354
119,380,True,125,3.2,0.40015220642089844
122,390,True,2941,3.2,8.38759446144104
125,400,True,258,3.2,2.267808437347412
128,409,True,7384,3.2,29.939558506011963
131,419,True,10377,3.2,29.67947816848755
134,428,True,1823,3.2,4.871544599533081
137,438,True,3547,3.2,8.26636528968811
140,448,True,1927,3.2,6.97974967956543
135,432,True,3641,3.2,6.853919982910156
122,390,True,169,3.2,0.4861471652984619
125,400,True,152,3.2,0.8833720684051514
128,409,True,509,3.2,1.2724230289459229
